,GCA_001633485.1,GCA_001639645.1,GCA_001633355.1,GCA_001633675.1,GCA_001633575.1,GCA_001633495.1,GCA_001633505.1,GCA_001633405.1,GCA_001633545.1,GCA_001633335.1,GCA_001633415.1,GCA_001633325.1,GCA_001639485.1,GCA_001633595.1,GCA_001633565.1,GCA_001633665.1,GCA_001633605.1,GCA_001633645.1,GCA_001308305.1,GCA_000203855.3,GCA_001633435.1
Cluster_5375,,,,,,,,,,ECBNDIDM_01651,,IMJNKLBI_01718,,,,,,,,,
Cluster_5376,,,,,,,,,FNJAKAKL_02450,,,,,,,,,,,,
Cluster_5377,LNKPBJJO_refound_33;LNKPBJJO_refound_34,,,,,,,,FNJAKAKL_refound_23;FNJAKAKL_refound_24;FNJAKAKL_refound_25,,,,,,,ODFDBHOD_01694,,,,,HBJIBEPC_refound_7
Cluster_5378,LNKPBJJO_00198,PEOCBFCP_01428,GKBMFCDM_02273,GKMEBLJL_02183,HKAMFFJN_00207,JOBNEEKL_02723,GACBFOHJ_00466,LLFCPLKD_01904,FNJAKAKL_01232,ECBNDIDM_00211,LFPJLIBK_00362,IMJNKLBI_00211,EMNCPJML_00079,PLFJNGPA_00466,PGJOJFNN_00050,ODFDBHOD_00090,IAPKCFHA_00365,BDHOLPHL_00362,DELEFPOC_02728,AHNHBFNE_01580,HBJIBEPC_00272
Cluster_5379,,,,GKMEBLJL_01073,,,,,,,LFPJLIBK_00516,,EMNCPJML_00743,,,,IAPKCFHA_refound_15_stop,BDHOLPHL_00518,DELEFPOC_02883,,
Cluster_5380,,,,GKMEBLJL_02770,,,GACBFOHJ_03007,LLFCPLKD_03081,,,,,,PLFJNGPA_03001,,ODFDBHOD_00639,IAPKCFHA_02802,BDHOLPHL_00895,DELEFPOC_01238,,
Cluster_5381,LNKPBJJO_01175,PEOCBFCP_02789,GKBMFCDM_02755,GKMEBLJL_01887,HKAMFFJN_01626,JOBNEEKL_00133,GACBFOHJ_01430,LLFCPLKD_01614,FNJAKAKL_00156,ECBNDIDM_01847,LFPJLIBK_01528,IMJNKLBI_01891,EMNCPJML_01415,PLFJNGPA_01495,PGJOJFNN_02316,ODFDBHOD_00559,IAPKCFHA_01794,BDHOLPHL_01174,DELEFPOC_01517,AHNHBFNE_00881,HBJIBEPC_02066
Cluster_5382,,PEOCBFCP_02592,GKBMFCDM_02558,GKMEBLJL_01323,HKAMFFJN_00416,,GACBFOHJ_00823,LLFCPLKD_03242,FNJAKAKL_00373,,LFPJLIBK_02637,,EMNCPJML_02416,PLFJNGPA_00902,PGJOJFNN_01748,ODFDBHOD_00800,IAPKCFHA_01405,BDHOLPHL_01521,DELEFPOC_00883,AHNHBFNE_02625,HBJIBEPC_01258
Cluster_5383,LNKPBJJO_01027,PEOCBFCP_02384,GKBMFCDM_02350,GKMEBLJL_03025,HKAMFFJN_01122,JOBNEEKL_01096,GACBFOHJ_00914,LLFCPLKD_01224,FNJAKAKL_03148,ECBNDIDM_02782,LFPJLIBK_02287,IMJNKLBI_02850,EMNCPJML_00903,PLFJNGPA_00990,PGJOJFNN_02774,ODFDBHOD_01270,IAPKCFHA_01915,BDHOLPHL_02085,DELEFPOC_01884,AHNHBFNE_02292,HBJIBEPC_02382
Cluster_5384,LNKPBJJO_02392,,,,,JOBNEEKL_02182,,,,,,,,,,,,,,,
Cluster_5385,,,,GKMEBLJL_refound_18_stop,,,,,FNJAKAKL_02215,,,,,,,,IAPKCFHA_01118,,,,HBJIBEPC_refound_8
Cluster_5386,,,,,,,,,,,,,,,,,IAPKCFHA_01519,,,,
Cluster_5387,,,,GKMEBLJL_01969,,,,,,,,,,,,,,,,,
Cluster_5388,,,,,,,GACBFOHJ_00697,,,,,,,PLFJNGPA_00753,,,,,,,
Cluster_5389,,,,,HKAMFFJN_00268,,,LLFCPLKD_00125,FNJAKAKL_00695,,,,,,,ODFDBHOD_01979,,,,AHNHBFNE_00330,
Cluster_5390,,PEOCBFCP_00390,GKBMFCDM_00388,,,,,,,,,,,,,,,,,,
Cluster_5392,,,,,,,,,,,,,EMNCPJML_01725,,,,,,,,
Cluster_5393,,,,,,,,,,,,,EMNCPJML_02055,,,,,,,,
Cluster_5394,,,,,,,,LLFCPLKD_01735,,,,,,,,ODFDBHOD_refound_15,,,,,
Cluster_5395,,,,,HKAMFFJN_refound_20,,,,,,LFPJLIBK_00848,,,,,,,,,,
Cluster_5396,,,,,,,,,,ECBNDIDM_00942,,IMJNKLBI_00930,,,,,,,,,
Cluster_5397,,,,,,,,,,,,IMJNKLBI_01299,,,,,,,,,
Cluster_5398,,,,,,,,,,ECBNDIDM_01652,,IMJNKLBI_01719,,,,,,,,,
Cluster_5399,,,,,,,,,,,,,,,PGJOJFNN_01713,,,,,,
Cluster_5400,,,,,,,,,,,,,,,PGJOJFNN_02887,,,,,,
Cluster_5401,LNKPBJJO_02696,PEOCBFCP_00227,GKBMFCDM_00225,GKMEBLJL_02402,HKAMFFJN_02373,JOBNEEKL_02347,GACBFOHJ_00184,LLFCPLKD_02176,FNJAKAKL_02559,ECBNDIDM_00489,LFPJLIBK_00082,IMJNKLBI_00488,EMNCPJML_01975,PLFJNGPA_00184,PGJOJFNN_00329,ODFDBHOD_00361,IAPKCFHA_00084,BDHOLPHL_00082,DELEFPOC_02449,AHNHBFNE_01304,HBJIBEPC_00547
Cluster_5402,LNKPBJJO_00702,PEOCBFCP_00152,GKBMFCDM_00150,GKMEBLJL_02326,HKAMFFJN_00681,JOBNEEKL_02272,GACBFOHJ_00259,LLFCPLKD_02101,FNJAKAKL_02634,ECBNDIDM_00414,LFPJLIBK_00157,IMJNKLBI_00413,EMNCPJML_01486,PLFJNGPA_00259,PGJOJFNN_00253,ODFDBHOD_00286,IAPKCFHA_00160,BDHOLPHL_00158,DELEFPOC_02525,AHNHBFNE_01379,HBJIBEPC_00472
Cluster_5403,LNKPBJJO_02849,PEOCBFCP_01287,GKBMFCDM_02132,GKMEBLJL_01066,HKAMFFJN_00067,JOBNEEKL_02041,GACBFOHJ_02549,LLFCPLKD_02559,FNJAKAKL_01383,ECBNDIDM_00066,LFPJLIBK_00509,IMJNKLBI_00066,EMNCPJML_00750,PLFJNGPA_02796,PGJOJFNN_02862,ODFDBHOD_02521,IAPKCFHA_00515,BDHOLPHL_00511,DELEFPOC_02876,AHNHBFNE_01735,HBJIBEPC_00119
Cluster_5404,,,,,,,,,,,,,,,,,,BDHOLPHL_00585,DELEFPOC_02190,,
Cluster_5405,LNKPBJJO_00336,PEOCBFCP_02163,GKBMFCDM_01816,GKMEBLJL_01199,HKAMFFJN_01531,JOBNEEKL_00442,GACBFOHJ_02353,LLFCPLKD_00710,FNJAKAKL_02773,ECBNDIDM_02708,LFPJLIBK_02890,IMJNKLBI_02775,EMNCPJML_01369,PLFJNGPA_02399,PGJOJFNN_00960,ODFDBHOD_02964,IAPKCFHA_01280,BDHOLPHL_01397,DELEFPOC_01007,AHNHBFNE_02500,HBJIBEPC_01372
Cluster_5406,LNKPBJJO_00473,PEOCBFCP_01454,GKBMFCDM_01145,GKMEBLJL_00365,HKAMFFJN_00234,JOBNEEKL_00637,GACBFOHJ_02734,LLFCPLKD_00154,FNJAKAKL_00661,ECBNDIDM_01048,LFPJLIBK_00877,IMJNKLBI_01036,EMNCPJML_01821,PLFJNGPA_02562,PGJOJFNN_00781,ODFDBHOD_02008,IAPKCFHA_02279,BDHOLPHL_01680,DELEFPOC_00589,AHNHBFNE_00294,HBJIBEPC_00831
Cluster_5407,LNKPBJJO_01972,PEOCBFCP_01972,GKBMFCDM_01381,GKMEBLJL_00224,HKAMFFJN_01771,JOBNEEKL_00220,GACBFOHJ_02139,LLFCPLKD_00293,FNJAKAKL_01880,ECBNDIDM_02245,LFPJLIBK_01828,IMJNKLBI_02305,EMNCPJML_00234,PLFJNGPA_02203,PGJOJFNN_01290,ODFDBHOD_02147,IAPKCFHA_02138,BDHOLPHL_01821,DELEFPOC_00449,AHNHBFNE_00152,HBJIBEPC_01857
Cluster_5408,LNKPBJJO_01391,PEOCBFCP_00497,GKBMFCDM_00448,GKMEBLJL_02570,HKAMFFJN_01206,JOBNEEKL_02822,GACBFOHJ_01114,LLFCPLKD_01425,FNJAKAKL_02418,ECBNDIDM_02407,LFPJLIBK_02096,IMJNKLBI_02631,EMNCPJML_02320,PLFJNGPA_01190,PGJOJFNN_01978,ODFDBHOD_01471,IAPKCFHA_02345,BDHOLPHL_02276,DELEFPOC_02075,AHNHBFNE_02093,HBJIBEPC_02842
Cluster_5409,LNKPBJJO_01750,PEOCBFCP_01715,GKBMFCDM_01676,GKMEBLJL_02940,HKAMFFJN_02228,JOBNEEKL_01771,GACBFOHJ_01707,LLFCPLKD_02330,FNJAKAKL_00557,ECBNDIDM_01355,LFPJLIBK_02522,IMJNKLBI_01349,EMNCPJML_01907,PLFJNGPA_01772,PGJOJFNN_01664,ODFDBHOD_02287,IAPKCFHA_02639,BDHOLPHL_02812,DELEFPOC_00043,AHNHBFNE_02804,HBJIBEPC_02674
Cluster_5410,LNKPBJJO_02984,PEOCBFCP_02054,GKBMFCDM_02021,,HKAMFFJN_02311,JOBNEEKL_02456,GACBFOHJ_00675,,FNJAKAKL_refound_26,ECBNDIDM_02129,LFPJLIBK_01188,IMJNKLBI_02199,,PLFJNGPA_00784,PGJOJFNN_02380,,IAPKCFHA_01111,,,AHNHBFNE_03093,HBJIBEPC_01646
Cluster_5411,,,,GKMEBLJL_02293,,,,,,,,,,,,,,,,,HBJIBEPC_01898
Cluster_5412,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_02893
Cluster_5413,,,,,,,GACBFOHJ_02906,,FNJAKAKL_01439,,,,,PLFJNGPA_02900,,,,,,,
Cluster_5414,,,,,,,GACBFOHJ_02949,,FNJAKAKL_02169,,,,,PLFJNGPA_02943,,,,,,,
Cluster_5415,,,,,HKAMFFJN_02345,,,LLFCPLKD_00921,,,LFPJLIBK_01062,,,,,ODFDBHOD_00987,,,,,
Cluster_5416,,PEOCBFCP_00712,GKBMFCDM_00710,,,,,,FNJAKAKL_00295,,,,,,,,,,,,
Cluster_5419,,,,,,,,,,,,,EMNCPJML_01792,,,,,,,,
Cluster_5420,,,,,,,,LLFCPLKD_01685,,,,,,,,ODFDBHOD_01640,,,,,
Cluster_5421,,,,,,,,LLFCPLKD_02739,,,,,,,,ODFDBHOD_02705,,,,,
Cluster_5422,,,,,,,,,,ECBNDIDM_01767,,IMJNKLBI_02163,,,,,,,,,
Cluster_5423,,,,,,,,,,ECBNDIDM_02421,,IMJNKLBI_02617,,,,,,,,,
Cluster_5425,,,,GKMEBLJL_01625,,,,,FNJAKAKL_01894,,,,,,PGJOJFNN_02126,,,,,,HBJIBEPC_01629
Cluster_5426,,,,,,,,,FNJAKAKL_02922,,,,,,,,,,,,
Cluster_5427,,,,,,,,,,,,,,,PGJOJFNN_03024,,,,,,
Cluster_5428,LNKPBJJO_02673,PEOCBFCP_01157,GKBMFCDM_00828,GKMEBLJL_00933,HKAMFFJN_00615,JOBNEEKL_02267,GACBFOHJ_02677,LLFCPLKD_02686,FNJAKAKL_00831,ECBNDIDM_01688,LFPJLIBK_00993,IMJNKLBI_01744,EMNCPJML_01444,PLFJNGPA_00725,PGJOJFNN_01230,ODFDBHOD_02648,IAPKCFHA_00933,BDHOLPHL_00757,DELEFPOC_03004,AHNHBFNE_01858,HBJIBEPC_01107
Cluster_5429,LNKPBJJO_01170,PEOCBFCP_02784,GKBMFCDM_02750,GKMEBLJL_01892,HKAMFFJN_01621,JOBNEEKL_00128,GACBFOHJ_01435,LLFCPLKD_01619,FNJAKAKL_00161,ECBNDIDM_01842,LFPJLIBK_01533,IMJNKLBI_01886,EMNCPJML_01410,PLFJNGPA_01500,PGJOJFNN_02321,ODFDBHOD_00564,IAPKCFHA_01799,BDHOLPHL_01179,DELEFPOC_01522,AHNHBFNE_00886,HBJIBEPC_02061
Cluster_5430,LNKPBJJO_02167,PEOCBFCP_02112,GKBMFCDM_01765,GKMEBLJL_01250,HKAMFFJN_00346,JOBNEEKL_01531,GACBFOHJ_02392,LLFCPLKD_00660,FNJAKAKL_01044,ECBNDIDM_02758,LFPJLIBK_02568,IMJNKLBI_02825,EMNCPJML_00606,PLFJNGPA_02360,PGJOJFNN_00844,ODFDBHOD_02914,IAPKCFHA_01332,BDHOLPHL_01449,DELEFPOC_00955,AHNHBFNE_02552,HBJIBEPC_01331
Cluster_5431,LNKPBJJO_00467,PEOCBFCP_01459,GKBMFCDM_01150,GKMEBLJL_00370,HKAMFFJN_00239,JOBNEEKL_00631,GACBFOHJ_02739,LLFCPLKD_00149,FNJAKAKL_00666,ECBNDIDM_01053,LFPJLIBK_00872,IMJNKLBI_01041,EMNCPJML_01816,PLFJNGPA_02567,PGJOJFNN_00786,ODFDBHOD_02003,IAPKCFHA_02284,BDHOLPHL_01675,DELEFPOC_00594,AHNHBFNE_00299,HBJIBEPC_00826
Cluster_5432,LNKPBJJO_00504,PEOCBFCP_01737,GKBMFCDM_01698,GKMEBLJL_00330,HKAMFFJN_01658,JOBNEEKL_00668,GACBFOHJ_02702,LLFCPLKD_00188,FNJAKAKL_00629,ECBNDIDM_01013,LFPJLIBK_00911,IMJNKLBI_01001,EMNCPJML_01290,PLFJNGPA_02530,PGJOJFNN_00753,ODFDBHOD_02042,IAPKCFHA_02244,BDHOLPHL_01715,DELEFPOC_00554,AHNHBFNE_00266,HBJIBEPC_00859
Cluster_5433,LNKPBJJO_01837,PEOCBFCP_00519,GKBMFCDM_00426,GKMEBLJL_02547,HKAMFFJN_01230,JOBNEEKL_02846,GACBFOHJ_01091,LLFCPLKD_01402,FNJAKAKL_02496,ECBNDIDM_02384,LFPJLIBK_02119,IMJNKLBI_02654,EMNCPJML_01836,PLFJNGPA_01167,PGJOJFNN_02003,ODFDBHOD_01448,IAPKCFHA_02085,BDHOLPHL_02253,DELEFPOC_02052,AHNHBFNE_02114,HBJIBEPC_02820
Cluster_5434,LNKPBJJO_01231,PEOCBFCP_01101,GKBMFCDM_00772,GKMEBLJL_01422,HKAMFFJN_01261,JOBNEEKL_02500,GACBFOHJ_01210,LLFCPLKD_01045,FNJAKAKL_01138,ECBNDIDM_02565,LFPJLIBK_00734,IMJNKLBI_02474,EMNCPJML_01090,PLFJNGPA_01286,PGJOJFNN_01548,ODFDBHOD_01054,IAPKCFHA_02468,BDHOLPHL_02590,DELEFPOC_01785,AHNHBFNE_01915,HBJIBEPC_02528
Cluster_5435,LNKPBJJO_02246,PEOCBFCP_00618,GKBMFCDM_00616,GKMEBLJL_02894,HKAMFFJN_02182,JOBNEEKL_01561,GACBFOHJ_01756,LLFCPLKD_02376,FNJAKAKL_00514,ECBNDIDM_01405,LFPJLIBK_02476,IMJNKLBI_01399,EMNCPJML_02893,PLFJNGPA_01821,PGJOJFNN_02997,ODFDBHOD_02333,IAPKCFHA_02593,BDHOLPHL_02766,DELEFPOC_00089,AHNHBFNE_02868,HBJIBEPC_02718
Cluster_5436,LNKPBJJO_00749,PEOCBFCP_01233,GKBMFCDM_02078,GKMEBLJL_00729,HKAMFFJN_00015,JOBNEEKL_02148,GACBFOHJ_02606,LLFCPLKD_02611,FNJAKAKL_00934,ECBNDIDM_03136,LFPJLIBK_00805,IMJNKLBI_03061,EMNCPJML_01625,PLFJNGPA_02853,PGJOJFNN_01078,ODFDBHOD_02573,IAPKCFHA_00676,BDHOLPHL_02971,DELEFPOC_02932,AHNHBFNE_01787,HBJIBEPC_00067
Cluster_5439,LNKPBJJO_01158,PEOCBFCP_02772,GKBMFCDM_02738,GKMEBLJL_01904,HKAMFFJN_01609,JOBNEEKL_00116,GACBFOHJ_01447,LLFCPLKD_01631,FNJAKAKL_00173,ECBNDIDM_01830,LFPJLIBK_01545,IMJNKLBI_01874,EMNCPJML_01398,PLFJNGPA_01512,PGJOJFNN_02333,ODFDBHOD_00576,IAPKCFHA_01811,BDHOLPHL_01191,DELEFPOC_01534,AHNHBFNE_00898,HBJIBEPC_02049
Cluster_5440,LNKPBJJO_01780,,,,,JOBNEEKL_01801,,,,,,,,,,,,,,,
Cluster_5441,LNKPBJJO_01786,,,,,JOBNEEKL_01795,,,,,,,,,,,,,,,
Cluster_5442,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_01554
Cluster_5443,,,,GKMEBLJL_01987,,,,,FNJAKAKL_01898,,,,,,,,,,,,HBJIBEPC_01625
Cluster_5444,,,,,,,,,FNJAKAKL_02399,,,,,,,,IAPKCFHA_01535,,,,HBJIBEPC_02860
Cluster_5445,,PEOCBFCP_00479,GKBMFCDM_00466,,,,GACBFOHJ_02019,LLFCPLKD_00426,,,LFPJLIBK_01951,,,PLFJNGPA_02083,PGJOJFNN_01419,ODFDBHOD_03208,IAPKCFHA_02363,,,AHNHBFNE_02073,
Cluster_5447,,,,GKMEBLJL_01956,,,,LLFCPLKD_01021,,,,,,,,ODFDBHOD_01734,,,,,
Cluster_5448,,,,GKMEBLJL_02723,,,,LLFCPLKD_01462,FNJAKAKL_02364,,,,,,,ODFDBHOD_01509,,,,,
Cluster_5449,,,,,HKAMFFJN_00865,,,,,,,,,,,,,,,,
Cluster_5450,,,,,HKAMFFJN_01894,,,,,,,,,,,ODFDBHOD_01716,,,,,
Cluster_5451,,,,,HKAMFFJN_02335,,,,,,,,,,,,,,,,
Cluster_5452,,,,,,,,,,,,,,,,,,,,AHNHBFNE_00597,
Cluster_5453,,,,,,,,LLFCPLKD_00501,,,,,,,,ODFDBHOD_03283,,,,,
Cluster_5454,,,,,,,,LLFCPLKD_01686,,,,,,,,ODFDBHOD_01641,,,,,
Cluster_5455,,,,,,,,LLFCPLKD_01771,,,,,,,,ODFDBHOD_01826,,,,,
Cluster_5456,,,,,HKAMFFJN_refound_21,,,,,,LFPJLIBK_01083,,,,,,,,,,
Cluster_5457,,,,,,,,,,,LFPJLIBK_01228,,,,,,,,,,
Cluster_5458,,,,,,,,,FNJAKAKL_01410,,,,,,,,,,,,
Cluster_5459,,,,,,,,,,,,,,,PGJOJFNN_01718,,,,,,
Cluster_5460,,PEOCBFCP_00103,GKBMFCDM_00102,GKMEBLJL_02027,HKAMFFJN_02992,,,,,,LFPJLIBK_00206,,,,,,IAPKCFHA_refound_16,BDHOLPHL_00207,DELEFPOC_refound_4,,
Cluster_5461,LNKPBJJO_00057,PEOCBFCP_00087,GKBMFCDM_00086,GKMEBLJL_02043,HKAMFFJN_02976,JOBNEEKL_01639,GACBFOHJ_00321,LLFCPLKD_02043,FNJAKAKL_02694,ECBNDIDM_00353,LFPJLIBK_00222,IMJNKLBI_00352,EMNCPJML_00569,PLFJNGPA_00321,PGJOJFNN_00191,ODFDBHOD_00229,IAPKCFHA_00225,BDHOLPHL_00223,DELEFPOC_02589,AHNHBFNE_01440,HBJIBEPC_00411
Cluster_5462,LNKPBJJO_00059,PEOCBFCP_00085,GKBMFCDM_00084,GKMEBLJL_02045,HKAMFFJN_02974,JOBNEEKL_01641,GACBFOHJ_00323,LLFCPLKD_02041,FNJAKAKL_02696,ECBNDIDM_00351,LFPJLIBK_00224,IMJNKLBI_00350,EMNCPJML_00571,PLFJNGPA_00323,PGJOJFNN_00189,ODFDBHOD_00227,IAPKCFHA_00227,BDHOLPHL_00225,DELEFPOC_02591,AHNHBFNE_01442,HBJIBEPC_00409
Cluster_5463,LNKPBJJO_01252,PEOCBFCP_01001,GKBMFCDM_01124,GKMEBLJL_00633,HKAMFFJN_00934,JOBNEEKL_01321,GACBFOHJ_01657,LLFCPLKD_03014,FNJAKAKL_00356,ECBNDIDM_03061,LFPJLIBK_01699,IMJNKLBI_01803,EMNCPJML_02339,PLFJNGPA_01722,PGJOJFNN_01758,ODFDBHOD_03135,IAPKCFHA_01514,BDHOLPHL_00529,DELEFPOC_02246,AHNHBFNE_01079,HBJIBEPC_01917
Cluster_5464,LNKPBJJO_00535,PEOCBFCP_02842,GKBMFCDM_02808,GKMEBLJL_01834,HKAMFFJN_01331,JOBNEEKL_00186,GACBFOHJ_01375,LLFCPLKD_00806,FNJAKAKL_00102,ECBNDIDM_01901,LFPJLIBK_01474,IMJNKLBI_01945,EMNCPJML_02234,PLFJNGPA_01440,PGJOJFNN_02263,ODFDBHOD_00505,IAPKCFHA_01741,BDHOLPHL_01121,DELEFPOC_01464,AHNHBFNE_00828,HBJIBEPC_02119
Cluster_5466,LNKPBJJO_00589,PEOCBFCP_00949,GKBMFCDM_01044,,HKAMFFJN_01716,JOBNEEKL_00884,,,,ECBNDIDM_02192,,IMJNKLBI_02252,,,PGJOJFNN_00691,,,,,AHNHBFNE_00205,
Cluster_5467,LNKPBJJO_00844,,,,,JOBNEEKL_01182,,,,,,,,,,,,,,,
Cluster_5469,LNKPBJJO_01380,,,,,JOBNEEKL_02811,,,,,LFPJLIBK_00684,,,,,,,,,,
Cluster_5470,LNKPBJJO_02877,,,,,JOBNEEKL_02069,GACBFOHJ_01567,,FNJAKAKL_02502,,,,,PLFJNGPA_01632,,,,,,,
Cluster_5471,,,,,,,GACBFOHJ_01559,,,,,,,PLFJNGPA_01624,,,,,,,
Cluster_5472,,,,,HKAMFFJN_00424,,,,,,,,,,,,,,,,
Cluster_5473,,PEOCBFCP_02030,GKBMFCDM_01997,,,,,,,,,,,,,,,,,,
Cluster_5474,,,,,,,,,,ECBNDIDM_00228,,IMJNKLBI_00228,,,,,,,,,
Cluster_5475,,,,,,,,,FNJAKAKL_00978,,,,,,,,,,,,
Cluster_5476,,,,,,,,,FNJAKAKL_02339,,,,,,,,,,,,
Cluster_5477,,,,,,,,,,,,,,,,ODFDBHOD_02666,,,,,
Cluster_5478,LNKPBJJO_00874,PEOCBFCP_03059,GKBMFCDM_03026,GKMEBLJL_00479,HKAMFFJN_00336,JOBNEEKL_01212,GACBFOHJ_02762,LLFCPLKD_00057,,,LFPJLIBK_02979,,EMNCPJML_01723,PLFJNGPA_02590,,ODFDBHOD_01910,IAPKCFHA_00583,BDHOLPHL_00649,DELEFPOC_00685,AHNHBFNE_00322,HBJIBEPC_00963
Cluster_5479,LNKPBJJO_02638,PEOCBFCP_01480,GKBMFCDM_01171,GKMEBLJL_00392,,JOBNEEKL_00605,,,,,LFPJLIBK_03041,,,,,,IAPKCFHA_02306,BDHOLPHL_00651,DELEFPOC_00616,,
Cluster_5480,LNKPBJJO_02679,,,GKMEBLJL_01616,,JOBNEEKL_02427,,,,,,,,,,,IAPKCFHA_01544,BDHOLPHL_00807,,,HBJIBEPC_01593
Cluster_5481,,PEOCBFCP_refound_18,GKBMFCDM_refound_20,GKMEBLJL_00021,HKAMFFJN_refound_22,,,,,,LFPJLIBK_02053,,,,,,,BDHOLPHL_02025,DELEFPOC_refound_5,,
Cluster_5482,,,,,,,,,,,LFPJLIBK_01158,,,,,,,BDHOLPHL_02385,DELEFPOC_02185,,
Cluster_5483,LNKPBJJO_01086,,,,,JOBNEEKL_01263,,,,,,,,,,,,,,,
Cluster_5484,LNKPBJJO_02862;LNKPBJJO_01528,,,,,JOBNEEKL_01445;JOBNEEKL_02054,,,,,,,,,,,,,,,HBJIBEPC_02626
Cluster_5485,LNKPBJJO_01765,,,,,JOBNEEKL_01780,,,,,,,,,,,,,,,
Cluster_5486,LNKPBJJO_02980,PEOCBFCP_02322,GKBMFCDM_02025,,,JOBNEEKL_02612,GACBFOHJ_00681,,,,,,,PLFJNGPA_00790,,,,,,,
Cluster_5487,,,,GKMEBLJL_01634,,,GACBFOHJ_01264,,,ECBNDIDM_01746;ECBNDIDM_01734,,IMJNKLBI_01791;IMJNKLBI_01816,EMNCPJML_02397,PLFJNGPA_00774,PGJOJFNN_02189,,,,,,HBJIBEPC_01584
Cluster_5488,,,,,,,,,FNJAKAKL_01950,,,,,,,,IAPKCFHA_01474,,,,
Cluster_5489,,PEOCBFCP_00359,GKBMFCDM_00357,GKMEBLJL_00574,HKAMFFJN_02890,,GACBFOHJ_01583,LLFCPLKD_02261;LLFCPLKD_03141,FNJAKAKL_01396;FNJAKAKL_02337,ECBNDIDM_02468;ECBNDIDM_00052,LFPJLIBK_01108,IMJNKLBI_02571;IMJNKLBI_00052,,PLFJNGPA_01648,PGJOJFNN_02849,ODFDBHOD_00699;ODFDBHOD_00446,,,,,
Cluster_5490,,,,,,,GACBFOHJ_00808,,,,,,,PLFJNGPA_00887,,,,,,,
Cluster_5491,,,,,HKAMFFJN_00266,,,,FNJAKAKL_00693,,,,,,,,,,,AHNHBFNE_00328,
Cluster_5492,,,,,,,,,,,,,,,,,,,,AHNHBFNE_02035,
Cluster_5493,,PEOCBFCP_00715,GKBMFCDM_00713,,,,,,FNJAKAKL_00298,,,,,,,,,,,,
Cluster_5494,,PEOCBFCP_01502,,,,,,,,,,,,,,,,,,,
Cluster_5495,,,,,,,,LLFCPLKD_00127,,,,,,,,ODFDBHOD_01981,,,,,
Cluster_5496,,,,,,,,,,,LFPJLIBK_00969,,,,,,,,,,
Cluster_5498,,,,,,,,,,ECBNDIDM_00029,,IMJNKLBI_00029,,,,,,,,,
Cluster_5499,,,,,,,,,,ECBNDIDM_01296,,IMJNKLBI_01686,,,,,,,,,
Cluster_5500,,,,,,,,,,ECBNDIDM_01720,,IMJNKLBI_01777,,,,,,,,,
Cluster_5501,,,,,,,,,FNJAKAKL_02239,,,,,,,,,,,,
Cluster_5502,,,,,,,,,,,,,,,PGJOJFNN_00990,,,,,,
Cluster_5503,,,,,,,,,,,,,,,PGJOJFNN_02681,,,,,,
Cluster_5504,LNKPBJJO_02595,PEOCBFCP_02725,GKBMFCDM_02691,GKMEBLJL_01464,HKAMFFJN_01527,JOBNEEKL_00406,GACBFOHJ_00779,LLFCPLKD_00975,FNJAKAKL_00493,ECBNDIDM_00834,LFPJLIBK_01649,IMJNKLBI_00822,EMNCPJML_02562,PLFJNGPA_00824,PGJOJFNN_01817,ODFDBHOD_01041,IAPKCFHA_00785,BDHOLPHL_00817,DELEFPOC_00747,AHNHBFNE_02758,HBJIBEPC_01134
Cluster_5505,,PEOCBFCP_02594,GKBMFCDM_02560,GKMEBLJL_01325,HKAMFFJN_00418,,,LLFCPLKD_03240,FNJAKAKL_00375,,LFPJLIBK_02639,,EMNCPJML_02418,,PGJOJFNN_01746,ODFDBHOD_00798,IAPKCFHA_01407,BDHOLPHL_01523,DELEFPOC_00881,AHNHBFNE_02627,HBJIBEPC_01256
Cluster_5506,,,,,,,GACBFOHJ_01543,,FNJAKAKL_00985,ECBNDIDM_00006,,IMJNKLBI_00006,,PLFJNGPA_01608,PGJOJFNN_01135,,,BDHOLPHL_02440,DELEFPOC_01635,,
Cluster_5507,LNKPBJJO_01353,,,,,JOBNEEKL_02784,,,,,,,,,,,,,,,
Cluster_5508,LNKPBJJO_01509,,,,,JOBNEEKL_01426,,,FNJAKAKL_02523,,,,,,,,,,,,
Cluster_5509,,,,GKMEBLJL_02732,,,,,FNJAKAKL_02356,,LFPJLIBK_01214,,EMNCPJML_01205,,,,,,,,
Cluster_5510,,,,,,,GACBFOHJ_00129,LLFCPLKD_02231,FNJAKAKL_01523,ECBNDIDM_00544,,IMJNKLBI_00543,,PLFJNGPA_00129,,ODFDBHOD_00416,,,,AHNHBFNE_01250,
Cluster_5511,,,,,,,GACBFOHJ_00392,,,,,,,PLFJNGPA_00392,,,,,,,
Cluster_5512,,PEOCBFCP_00828,GKBMFCDM_01419,,,,GACBFOHJ_00722,,,,,,,PLFJNGPA_00801,,,,,,,
Cluster_5513,,,,,HKAMFFJN_01232,,,,,,,,,,,,,,,,
Cluster_5514,,,,,,,,LLFCPLKD_00411,,,,,,,,ODFDBHOD_03193,,,,,
Cluster_5515,,,,,,,,,,,,,,,PGJOJFNN_01714,,,,,,
Cluster_5516,,,,,,,,,,,,,,PLFJNGPA_00737,,,,,,,
